base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,Manufacturing,,,,3482190.141,3482190.141,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,Manufacturing,,,,3482190.141,3482190.141,₹ Crore
2011-12,Current,2022-23,Gross Value Added,Annual,Final Estimates,Financial Services,,,,1452678.551,903367.9275,₹ Crore
2011-12,Current,2022-23,Gross Value Added,Annual,Final Estimates,Financial Services,,,,1452678.551,903367.9275,₹ Crore
2011-12,Current,2022-23,Gross Fixed Capital Formation,Annual,Final Estimates,,,Household Sector,,3598246.537,2262238.644,₹ Crore
2011-12,Current,2022-23,Gross Fixed Capital Formation,Annual,Final Estimates,,,Household Sector,,3598246.537,2262238.644,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,5427908,2554071.207,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,,,,508554,336550.0692,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Manufacturing,,Current,,4554580,3161363.993,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",,,,817265,413702.0036,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Construction,,,,2799847,1682792.355,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",,,,5640741,3415552.426,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",,,,7657155,4494341.359,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",,,,4941823,2391454.854,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,,,,32347873,18449828.27,₹ Crore
2022-23,Current,2025-26,Gross Value Added,Annual,Second Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",,,,5608471.246,5208799.64,₹ Crore
