base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,Manufacturing,Air Transport,General Government,Q2,3482190.141,3482190.141,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,Manufacturing,Air Transport,General Government,Q2,3482190.141,3482190.141,₹ Crore
2011-12,Current,2022-23,Gross Value Added,Annual,Final Estimates,Financial Services,Air Transport,General Government,Q2,1452678.551,903367.9275,₹ Crore
2011-12,Current,2022-23,Gross Value Added,Annual,Final Estimates,Financial Services,Air Transport,General Government,Q2,1452678.551,903367.9275,₹ Crore
2011-12,Current,2022-23,Gross Fixed Capital Formation,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Household Sector,Q2,3598246.537,2262238.644,₹ Crore
2011-12,Current,2022-23,Gross Fixed Capital Formation,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Household Sector,Q2,3598246.537,2262238.644,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,5427908.0,2554071.207,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Mining and Quarrying,Air Transport,General Government,Q2,508554.0,336550.0692,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Manufacturing,Air Transport,Current,Q2,4554580.0,3161363.993,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,817265.0,413702.0036,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Construction,Air Transport,General Government,Q2,2799847.0,1682792.355,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,5640741.0,3415552.426,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,7657155.0,4494341.359,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,4941823.0,2391454.854,₹ Crore
2011-12,Current,2025-26,Gross Value Added,Annual,First Advance Estimates,Total Gross Value Added,Air Transport,General Government,Q2,32347873.0,18449828.27,₹ Crore
